id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,texture_id,ch_input_id
45,5,0,0,-67.3495,-34.4173,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,199,34,255,24,0,0,0.1,0,45
46,5,0,0,-54.173,-36.9551,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,124,34,255,24,0,0,0.1,0,46
47,5,0,0,-27.8199,-37.1242,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,90,34,255,24,0,0,0.1,0,47
48,5,0,0,-101.3311,4.9187,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,99,34,255,24,0,0,0.1,0,48
49,5,0,0,-97.1701,53.9829,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,83,34,255,24,0,0,0.1,0,49
50,5,0,0,-34.7549,56.3515,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,127,34,255,24,0,0,0.1,0,50
51,5,0,0,-60.4145,128.6789,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,148,34,255,24,0,0,0.1,0,51
52,5,0,0,-86.0741,10.671,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,62,34,255,24,0,0,0.1,0,52
53,5,0,0,-104.7987,85.2824,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,161,34,255,24,0,0,0.1,0,53
54,5,0,0,-103.4116,55.1672,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,50,34,255,24,0,0,0.1,0,54
55,5,0,0,3.3878,-67.7471,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,144,34,255,24,0,0,0.1,0,55
56,5,0,0,-103.4116,55.1672,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,165,34,255,24,0,0,0.1,0,56
57,5,0,0,-41.6899,125.6335,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,201,34,255,24,0,0,0.1,0,57
58,5,0,0,-103.4116,116.9204,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,88,34,255,24,0,0,0.1,0,58
59,5,0,0,-15.3368,-4.0482,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,44,34,255,24,0,0,0.1,0,59
60,5,0,0,-122.8297,99.2404,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,227,34,255,24,0,0,0.1,0,60
61,5,0,0,-102.7181,42.3936,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,109,34,255,24,0,0,0.1,0,61
62,5,0,0,-113.8142,-20.7131,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,211,34,255,24,0,0,0.1,0,62
63,5,0,0,-103.4116,116.9204,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,68,34,255,24,0,0,0.1,0,63
64,5,0,0,-103.4116,55.1672,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,142,34,255,24,0,0,0.1,0,64
65,5,0,0,1.3073,32.2424,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,159,34,255,24,0,0,0.1,0,65
66,5,0,0,-30.5939,-4.0482,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,65,34,255,24,0,0,0.1,0,66
67,5,0,0,-151.9568,61.6809,2.0,0.0,0.0,0.0,1.0,1.0,1.0,216,229,34,255,24,0,0,0.1,0,67
68,5,0,0,-82.6066,61.0041,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,88,34,255,24,0,0,0.1,0,68
69,5,0,0,-117.2817,34.188,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,100,34,255,24,0,0,0.1,0,69
70,5,0,0,2.6943,-49.4749,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,119,34,255,24,0,0,0.1,0,70
71,5,0,0,-119.3622,-17.2448,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,132,34,255,24,0,0,0.1,0,71
72,5,0,0,-65.9625,-35.4324,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,63,34,255,24,0,0,0.1,0,72
73,5,0,0,-44.4639,1.7887,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,131,34,255,24,0,0,0.1,0,73
74,5,0,0,-115.2012,61.4271,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,209,34,255,24,0,0,0.1,0,74
75,5,0,0,-63.1885,38.6715,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,183,34,255,24,0,0,0.1,0,75
76,5,0,0,15.8708,-41.9461,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,129,34,255,24,0,0,0.1,0,76
77,5,0,0,-37.5289,-52.2665,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,117,34,255,24,0,0,0.1,0,77
78,5,0,0,-38.2224,-61.9101,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,88,34,255,24,0,0,0.1,0,78
79,5,0,0,-117.9752,-6.4168,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,114,34,255,24,0,0,0.1,0,79
80,5,0,0,-103.4116,23.3601,2.0,0.0,0.0,0.0,1.0,1.0,1.0,217,229,34,255,24,0,0,0.1,0,80
81,5,0,0,-117.9752,35.8799,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,145,34,255,24,0,0,0.1,0,81
82,5,0,0,-145.7153,43.0703,2.0,0.0,0.0,0.0,1.0,1.0,1.0,125,229,34,255,24,0,0,0.1,0,82
83,5,0,0,-65.9625,-2.9485,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,121,34,255,24,0,0,0.1,0,83
84,5,0,0,11.0163,-54.8889,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,213,34,255,24,0,0,0.1,0,84
85,5,0,0,-57.6405,-52.5202,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,163,34,255,24,0,0,0.1,0,85
86,5,0,0,-129.7647,-32.7254,2.0,0.0,0.0,0.0,1.0,1.0,1.0,217,229,34,255,24,0,0,0.1,0,86
87,5,0,0,-111.7337,52.4602,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,181,34,255,24,0,0,0.1,0,87
88,5,0,0,-81.2196,13.9702,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,154,34,255,24,0,0,0.1,0,88
89,5,0,0,-12.5628,-16.991,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,139,34,255,24,0,0,0.1,0,89
90,5,0,0,-36.8354,-7.3474,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,164,34,255,24,0,0,0.1,0,90
91,5,0,0,-75.6715,28.0127,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,226,34,255,24,0,0,0.1,0,91
92,5,0,0,-29.9004,-41.6923,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,123,34,255,24,0,0,0.1,0,92
93,5,0,0,-2.8538,2.973,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,186,34,255,24,0,0,0.1,0,93
94,5,0,0,180.0,180.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,133,34,255,24,0,0,0.1,0,94
95,5,0,0,-49.3184,35.1185,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,220,34,255,24,0,0,0.1,0,95
96,5,0,0,-102.7181,80.7144,2.0,0.0,0.0,0.0,1.0,1.0,1.0,116,229,34,255,24,0,0,0.1,0,96
97,5,0,0,-9.0953,-11.1541,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,132,34,255,24,0,0,0.1,0,97
98,5,0,0,-110.3467,-11.4078,2.0,0.0,0.0,0.0,1.0,1.0,1.0,214,229,34,255,24,0,0,0.1,0,98
99,5,0,0,-44.4639,-7.3474,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,121,34,255,24,0,0,0.1,0,99
100,5,0,0,-44.4639,-52.2665,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,96,34,255,24,0,0,0.1,0,100
101,5,0,0,-3.5473,-38.9007,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,109,34,255,24,0,0,0.1,0,101
102,5,0,0,-26.4329,-5.9939,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,101,34,255,24,0,0,0.1,0,102
103,5,0,0,-99.9441,61.9347,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,187,34,255,24,0,0,0.1,0,103
104,5,0,0,-72.8975,21.499,2.0,0.0,0.0,0.0,1.0,1.0,1.0,224,229,34,255,24,0,0,0.1,0,104
105,5,0,0,-78.4456,-9.4622,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,210,34,255,24,0,0,0.1,0,105
106,5,0,0,-21.5783,27.5897,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,198,34,255,24,0,0,0.1,0,106
107,5,0,0,-34.0614,-1.0029,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,183,34,255,24,0,0,0.1,0,107
108,5,0,0,17.9513,-47.1063,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,160,34,255,24,0,0,0.1,0,108
109,5,0,0,5.4683,-49.0519,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,135,34,255,24,0,0,0.1,0,109
110,5,0,0,26.9669,39.0944,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,211,34,255,24,0,0,0.1,0,110
111,5,0,0,-55.56,-1.0029,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,111,34,255,24,0,0,0.1,0,111
112,5,0,0,-84.6871,-8.4471,2.0,0.0,0.0,0.0,1.0,1.0,1.0,220,229,34,255,24,0,0,0.1,0,112
113,5,0,0,6.1618,32.0732,2.0,0.0,0.0,0.0,1.0,1.0,1.0,198,229,34,255,24,0,0,0.1,0,113
114,5,0,0,-32.6744,-20.7977,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,142,34,255,24,0,0,0.1,0,114
115,5,0,0,-17.4173,9.9943,2.0,0.0,0.0,0.0,1.0,1.0,1.0,185,229,34,255,24,0,0,0.1,0,115
116,5,0,0,-93.0091,66.8411,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,216,34,255,24,0,0,0.1,0,116
117,5,0,0,-7.0148,19.8917,2.0,0.0,0.0,0.0,1.0,1.0,1.0,154,229,34,255,24,0,0,0.1,0,117
118,5,0,0,-93.7026,42.9011,2.0,0.0,0.0,0.0,1.0,1.0,1.0,194,229,34,255,24,0,0,0.1,0,118
119,5,0,0,-22.2718,-40.1696,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,113,34,255,24,0,0,0.1,0,119
120,5,0,0,-174.1489,180.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,107,34,255,24,0,0,0.1,0,120
121,5,0,0,-55.56,-10.3927,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,171,34,255,24,0,0,0.1,0,121
