id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,ch_input_id
3046,5,3016,2,73.0841,0.0,12.6506,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3047,5,3016,2,73.7077,0.0,20.9639,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3048,5,3016,2,74.3313,0.0,20.9639,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3049,5,3016,2,74.9549,0.0,20.9639,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3050,5,3016,2,75.5785,0.0,20.9639,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3051,5,3016,2,76.202,0.0,20.9639,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3052,5,3016,2,76.8256,0.0,15.9036,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3053,5,3016,2,77.4492,0.0,15.9036,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3054,5,3016,2,78.0728,0.0,19.1566,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3055,5,3016,2,78.6964,0.0,19.1566,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3056,5,3016,2,79.32,0.0,15.9036,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3057,5,3016,2,79.9436,0.0,15.9036,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3058,5,3016,2,80.5672,0.0,15.9036,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3059,5,3016,2,81.1908,0.0,15.9036,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3060,5,3016,2,81.8144,0.0,15.9036,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3061,5,3016,2,82.4379,0.0,13.7349,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3062,5,3016,2,83.0615,0.0,15.3895,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3063,5,3016,2,83.6851,0.0,14.4578,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3064,5,3016,2,84.3087,0.0,14.4578,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3065,5,3016,2,84.9323,0.0,14.4578,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3066,5,3016,2,85.5559,0.0,14.4578,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3176,5,2955,1,55.0,0.0,11.9277,0.0,0.0,0.0,1.0,1.0,1.0,255,255,255,255,11,0,0,0.1,63
3067,5,2955,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,255,150,38,255,22,0,16,0.4,0
3068,5,3067,2,110.0,0.0,30.0,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3069,5,3067,2,110.6236,0.0,9.662,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3070,5,3067,2,111.2472,0.0,5.399,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3071,5,3067,2,111.8708,0.0,15.2499,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3072,5,3067,2,112.4944,0.0,14.8654,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3073,5,3067,2,113.1179,0.0,13.2158,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3074,5,3067,2,113.7415,0.0,12.7479,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3075,5,3067,2,114.3651,0.0,8.4866,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3076,5,3067,2,114.9887,0.0,13.4238,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3077,5,3067,2,115.6123,0.0,10.971,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3078,5,3067,2,116.2359,0.0,12.4462,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3079,5,3067,2,116.8595,0.0,10.2341,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3080,5,3067,2,117.4831,0.0,13.1859,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3081,5,3067,2,118.1067,0.0,23.3463,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3082,5,3067,2,118.7303,0.0,12.6567,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3083,5,3067,2,119.3538,0.0,12.6687,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
