id,table_id,record_id,title
69,0,72,Grade 6 | 2006 | Not Economically Disadvantaged: 63.8% above proficient
70,0,73,Grade 7 | 2006 | Economically Disadvantaged: 30.0% above proficient
71,0,74,Grade 7 | 2006 | Not Economically Disadvantaged: 64.6% above proficient
72,0,75,Grade 8 | 2006 | Economically Disadvantaged: 19.7% above proficient
73,0,76,Grade 8 | 2006 | Not Economically Disadvantaged: 50.4% above proficient
74,0,77,Grade 9 | 2006 | Economically Disadvantaged: 14.1% above proficient
75,0,78,Grade 9 | 2006 | Not Economically Disadvantaged: 37.5% above proficient
76,0,79,Grade 10 | 2006 | Economically Disadvantaged: 11.7% above proficient
77,0,80,Grade 10 | 2006 | Not Economically Disadvantaged: 29.9% above proficient
78,0,81,Grade 11 | 2006 | Economically Disadvantaged: 17.6% above proficient
79,0,82,Grade 11 | 2006 | Not Economically Disadvantaged: 35.8% above proficient
80,0,83,Grade 2 | 2007 | Economically Disadvantaged: 42.5% above proficient
81,0,84,Grade 2 | 2007 | Not Economically Disadvantaged: 74.2% above proficient
82,0,85,Grade 3 | 2007 | Economically Disadvantaged: 37.2% above proficient
83,0,86,Grade 3 | 2007 | Not Economically Disadvantaged: 69.0% above proficient
84,0,87,Grade 4 | 2007 | Economically Disadvantaged: 42.3% above proficient
85,0,88,Grade 4 | 2007 | Not Economically Disadvantaged: 73.8% above proficient
86,0,89,Grade 5 | 2007 | Economically Disadvantaged: 31.4% above proficient
87,0,90,Grade 5 | 2007 | Not Economically Disadvantaged: 65.6% above proficient
88,0,91,Grade 6 | 2007 | Economically Disadvantaged: 30.2% above proficient
89,0,92,Grade 6 | 2007 | Not Economically Disadvantaged: 64.6% above proficient
90,0,93,Grade 7 | 2007 | Economically Disadvantaged: 31.8% above proficient
91,0,94,Grade 7 | 2007 | Not Economically Disadvantaged: 64.2% above proficient
92,0,95,Grade 8 | 2007 | Economically Disadvantaged: 21.9% above proficient
93,0,96,Grade 8 | 2007 | Not Economically Disadvantaged: 53.7% above proficient
94,0,97,Grade 9 | 2007 | Economically Disadvantaged: 15.9% above proficient
95,0,98,Grade 9 | 2007 | Not Economically Disadvantaged: 39.9% above proficient
